Name,Class,ManaCost,Attack,Health,Text
Acechador Escamaterror,3,2,2,3,<b>Grito de batalla:</b> Activa el <b>Último aliento</b> de un esbirro amistoso.
Acechador Gilblin,12,2,2,3,<b>Sigilo</b>
Acechador de fase,3,2,2,3,Después de que uses tu poder de héroe, lanza un <b>secreto</b> de tu mazo.
Acechador diente de sable,12,6,8,2,<b>Sigilo</b>
Acechador solitario,3,3,4,2,<b>Grito de batalla:</b> Otorga +1/+1 a todos los esbirros con <b>Último aliento</b> en tu mano.
Acechador vil,9,2,4,3,<b>Grito de batalla:</b> Descarta una carta aleatoria.
Acechador vil,9,2,4,3,<b>Grito de batalla:</b> Descarta una carta aleatoria.
Acechadora umbría,7,4,3,3,<b>Grito de batalla:</b> Si has <b>Convocado</b> dos veces, añade 3 monedas a tu mano.
Acechatrincheras,10,9,8,9,<b>Grito de batalla:</b> Ataca a tres enemigos aleatorios distintos.
Aceite afilaespadas,7,4,-1,-1,Otorga +3 p. de ataque a tu arma. <b>Combo:</b> Otorga +3 p. de ataque a un esbirro amistoso aleatorio.
Acelerador temporal,12,3,2,2,<b>Grito de batalla:</b> Roba un robot. Cuesta (2) cristales menos.
Acero robado,7,2,-1,-1,<b>Descubre</b> un arma <i>(de otra clase)</i>.
Acorazado,10,3,2,4,<b>Grito de batalla:</b> Obtiene +2/+2 si tu héroe tiene armadura.
Acorde alterado,8,5,-1,-1,<b>Robo de vida</b> Inflige 6 p. de daño a un esbirro. Cuesta (3) cristales menos si sufres <b>Sobrecarga</b>.
Acorde de las Sombras: Distorsionar,6,3,-1,-1,Aplica -5/-5 a un esbirro. Si tiene 0 p. de ataque, lo destruye.
Acorde de poder: sincronizar,6,2,-1,-1,Elige a un esbirro. Añade una copia a tu mano. <b>Desenlace:</b> Otorga +1/+2 a ambos.
Acrobacias,14,3,-1,-1,Roba 2 cartas. Si las juegas en este turno, roba 2 más.
Activar el obelisco,6,1,-1,-1,<b>Misión:</b> Restaura 15 p. de salud. <b>Recompensa:</b> Ojo del obelisco.
Activar la trampa,3,4,-1,-1,Inflige 3 p. de daño a un esbirro y lanza un <b>secreto</b> de tu mazo. <b>Muerte con honor:</b> Lanza 2.
Actor pomposo,12,2,3,2,<b>Provocar</b>
Acuarelista,4,4,4,4,<b>Grito de batalla:</b> Roba un hechizo de Escarcha. Al comienzo de tus turnos, reduce su coste en (1) cristal.
Acuerdo siniestro,9,1,-1,-1,<b>Descubre</b> un <b>lacayo</b>.
Acusación de asesinato,7,2,-1,-1,Elige a un esbirro. Destrúyelo después de que muera otro esbirro enemigo.
Acusación de fuego provocado,9,2,-1,-1,Elige un esbirro. Lo destruye después de que tu héroe reciba daño.
Acusación de robo,6,1,-1,-1,Elige a un esbirro. Destrúyelo después de jugar una carta copiada al oponente.
Acusador natopiedra,12,5,5,5,<b>Imbuir ( ):</b> Obtiene «<b>Grito de batalla:</b> Inflige 5 p. de daño».
Acólita de la Muerte,1,3,2,4,Después de que muera un no-muerto amistoso, roba una carta.
Acólita de la Muerte,1,3,2,4,Después de que muera un no-muerto amistoso, roba una carta.
Acólita encapuchada,6,4,3,6,<b>Provocar</b> Cada vez que se sana a un personaje, otorga a tu C'Thun +1/+1 <i>(dondequiera que esté)</i>.
Acólita encapuchada,6,4,3,6,<b>Provocar</b> Cada vez que se sana a un personaje, otorga a tu C'Thun +1/+1 <i>(dondequiera que esté)</i>.
Acólito Crepuscular,6,3,2,4,<b>Grito de batalla:</b> Si hay un dragón en tu mano, intercambia el ataque de este esbirro con el de otro.
Acólito Filo Ardiente,12,5,1,1,<b>Último aliento:</b> Invoca a un Engendro demoníaco 5/8 con <b>Provocar</b>.
Acólito de agonía,6,3,3,3,<b>Robo de vida</b>
Acólito de dolor,12,3,1,4,Roba una carta cada vez que este esbirro recibe daño.
Acólito de dolor,12,3,1,3,Roba una carta cada vez que este esbirro recibe daño.
Acólito de dolor,12,3,1,4,Roba una carta cada vez que este esbirro recibe daño.
Acólito de dolor,12,3,1,4,Roba una carta cada vez que este esbirro recibe daño.
Acólito de la Cábala,6,4,2,6,<b>Provocar</b> <b>Magia súbita:</b> Toma el control de un esbirro enemigo aleatorio con 2 p. de ataque o menos.
Adaptación,5,0,-1,-1,<b>Adapta</b> a un esbirro amistoso.
Adepta Furiargenta,10,6,4,8,<b>Embestir</b> <b>Esquivo</b> <b>Provocar</b>
Adepto Zarpafuria,2,2,2,3,<b>Grito de batalla:</b> Otorga +1 p. de ataque a los demás personajes amistosos este turno.
Adepto vinculagujas,14,5,6,4,<b>Grito de batalla:</b> Si tu héroe ha atacado durante este turno, inflige 4 p. de daño.
Adicta al maná,12,2,1,3,Cada vez que lanzas un hechizo, obtiene +2 p. de ataque este turno.
Adicta al maná,12,2,1,3,Cada vez que lanzas un hechizo, obtiene +2 p. de ataque este turno.
Adicto al dulce,7,2,3,2,<b>Corrupción:</b> Obtiene +2 p. de ataque y <b>Sigilo</b>.
Adivina el peso,2,2,-1,-1,Roba una carta. Adivina si tu próxima carta cuesta más o menos para robarla.
Administrador Stewart,5,3,3,3,<b>Último aliento:</b> Otorga +3/+3 y este <b>Último aliento</b> al siguiente recluta Mano de Plata que invoques.
Administrador de pergaminos,12,5,4,4,<b>+1 p. de daño con hechizos</b> <b>Grito de batalla:</b> <b>Descubre</b> un hechizo.
Administradora de Villa Oscura,5,3,4,3,Cada vez que invocas a un esbirro con 1 p. de salud, le otorga <b>Escudo divino</b>.
Administradora de Villa Oscura,5,3,4,3,Cada vez que invocas a un esbirro con 1 p. de salud, le otorga <b>Escudo divino</b>.
Adorno rúnico,14,2,-1,-1,<b>Descubre</b> un hechizo que cueste (3) cristales o menos. Mete 2 copias en tu mazo que <b>se lanzarán al robarlas</b>.
Aegwynn la Guardiana,4,5,5,5,<b>+2 p. de daño con hechizos</b> <b>Último aliento:</b> El siguiente esbirro que robes hereda estos poderes.
Aeroponía,2,5,-1,-1,Roba 2 cartas. Cuesta (2) cristales menos por cada antárbol que controles.
Aerosolizador,2,3,2,2,<b>Grito de batalla y Último aliento: </b>Invoca a un antárbol 2/2.
Agarre de juez,14,3,3,-1,<b>Último aliento:</b> Roba un demonio y reduce su coste en (2) cristales.
Agarre tentacular,7,2,-1,-1,Inflige 3 p. de daño. <b>Combo:</b> Obtienes un zarcillo caótico 1/1.
Agente Omega,9,5,4,5,<b>Grito de batalla:</b> Si tienes 10 cristales de maná, invoca 2 copias de este esbirro.
Agente del IV:7,7,3,3,3,<b>Combo:</b> Inflige 2 p. de daño.
Agente del IV:7,7,3,3,3,<b>Combo:</b> Inflige 2 p. de daño.
Agente del IV:7,7,3,3,3,<b>Combo:</b> Inflige 2 p. de daño.
Agente del Reposo del Dragón,6,2,1,4,<b>Grito de batalla:</b> Obtiene +1 p. de ataque y <b>Provocar</b> si hay un dragón en tu mano.
Agente doble,7,3,3,3,<b>Grito de batalla:</b> Si en tu mano hay alguna carta de otra clase, invoca una copia de este esbirro.
Agentes del Loto,12,3,3,3,<b>Grito de batalla:</b> <b>Descubre</b> una carta de druida, pícaro o chamán.
Agentes del Loto,12,3,3,3,<b>Grito de batalla:</b> <b>Descubre</b> una carta de druida, pícaro o chamán.
Aggramar el Vengador,3,6,3,7,<b>Titán</b> <b>Grito de batalla:</b> Equipa un Taeshalach 3/3.
Agitador árido,8,3,2,5,<b>Grito de batalla:</b> Si jugaste un elemental el turno anterior, obtiene <b>Embestir</b> y <b>Viento furioso</b>.
Agonía de Escarcha,1,6,4,-1,<b>Último aliento:</b> Invoca a todos los esbirros que haya matado esta arma.
Agonía de Escarcha,1,6,4,-1,<b>Último aliento:</b> Invoca a todos los esbirros que haya matado esta arma.
Agostar,4,4,-1,-1,Inflige 4 p. de daño a un esbirro. Cuesta (1) cristal si jugaste un elemental en el turno anterior.
Agua consagrada,6,5,-1,-1,Inflige 4 p. de daño a un esbirro. Si eso lo mata, añade una copia del mismo a tu mano.
Agua de manantial refrescante,4,5,-1,-1,Roba 2 cartas. Recarga (2) cristales por cada hechizo robado.
Agua de manantial sagrada,6,2,-1,-1,Restaura 8 p. de salud a un personaje dañado. Guarda el sobrante en una botella de coste 1.
Aguador,12,2,2,1,<b>Grito de batalla:</b> La próxima vez que uses tu poder de héroe este turno, costará (0) cristales.
Aguador Pezuña de Arena,6,5,5,5,Al final de tu turno, restaura 5 p. de salud a un personaje amistoso dañado.
Aguafiestas,12,8,7,9,<b>Grito de batalla:</b> Elige a un esbirro enemigo. Lánzale un esbirro aleatorio de tu mano.
Aguafiestas Tótem Siniestro,12,4,5,4,<b>Grito de batalla:</b> Descarta un arma para robar 3 cartas.
Aguante desesperado,5,2,-1,-1,Otorga a un esbirro «<b>Último aliento:</b> Vuelve a la vida con 1 p. de salud».
Aguja de paño de las Sombras,6,1,0,-1,Después de que juegues un hechizo de las Sombras, inflige 1 p. de daño a todos los enemigos. Pierde 1 p. de durabilidad.
Ahogar,6,4,-1,-1,Coloca un esbirro enemigo en la parte inferior de tu mazo.
Aire muerto,1,2,-1,-1,Destruye a tus no-muertos y vuelve a invocarlos.
Akali, el rinoceronte,10,8,5,5,<b>Embestir</b> <b>Arrasar:</b> Roba un esbirro con <b>Embestir</b> de tu mazo. Le otorga +5/+5.
Akama,7,3,3,4,<b>Sigilo</b> <b>Último aliento:</b> Mete a Akama supremo en tu mazo.
Al fondo con el barco,1,2,-1,-1,Inflige 3 p. de daño. Mete dos pestes aleatorias en el mazo de tu oponente.
Al'Akir, Señor del Viento,8,8,3,6,<b>Cargar, Escudo divino, Provocar, Viento furioso</b>
Al'Akir, Señor del Viento,8,8,3,6,<b>Cargar Escudo divino Provocar Viento furioso</b>
Al'Akir, Señor del Viento,8,8,3,5,<b>Cargar, Escudo divino, Provocar, Viento furioso</b>
Al'Akir, los vientos del tiempo,8,7,-1,30,<b>Grito de batalla:</b> Roba un esbirro con <b>Cargar</b>, <b>Escudo divino</b>, <b>Provocar</b> y <b>Viento furioso</b>.
Al'ar,12,5,7,3,<b>Último aliento:</b> Invoca unas Cenizas de Al'ar 0/3 que resucitan a este esbirro en tu siguiente turno.
Ala Abisal enloquecida,9,5,5,5,<b>Grito de batalla:</b> Si hay un dragón en tu mano, inflige 3 p. de daño a todos los demás personajes.
Ala Parda,14,2,1,-1,<b>Grito de batalla:</b> Invoca a dos vueloviles 1/1.
Ala Parda,14,2,1,-1,<b>Grito de batalla:</b> Invoca a dos vueloviles 1/1.
Ala de escarcha retorcida,3,4,3,3,<b>Embestir</b> <b>Último aliento:</b> Invoca una quimera equivalente al ataque de este esbirro.
Ala de plata,5,2,2,1,<b>Escudo divino</b> <b>Último aliento:</b> Roba un hechizo sagrado.
Aladorada,5,4,3,5,<b>Embestir</b> <b>Grito de batalla:</b> Obtiene <b>Viento furioso</b> si hay un robot en tu mano.
Alafeliz,12,3,3,2,<b>Grito de batalla:</b> Añade un esbirro <b>legendario</b> aleatorio a tu mano.
Alahechizo violeta,4,1,1,1,<b>Último aliento:</b> Añade un hechizo de Misiles Arcanos a tu mano.
Alalatón,5,8,9,7,Al final de tu turno, inflige 2 p. de daño a todos los enemigos. <b>Muerte con honor:</b> Restaura 4 p. de salud a tu héroe.
Alamagus evasiva,12,4,5,4,<b>Esquivo</b>
Alamuerte,12,10,12,12,<b>Grito de batalla:</b> Destruye a todos los demás esbirros y descarta tu mano.
Alamuerte,12,10,12,12,<b>Grito de batalla:</b> Destruye a todos los demás esbirros y descarta tu mano.
Alamuerte el Destructor,12,10,12,12,<b>Grito de batalla:</b> Destruye al resto de esbirros. Descarta una carta por cada esbirro destruido.
Alamuerte, Aspecto de la Locura,10,8,12,12,<b>Grito de batalla:</b> Ataca a todos los demás esbirros.
Alamuerte, Aspecto de la Locura,10,8,12,12,<b>Grito de batalla:</b> Ataca a todos los demás esbirros.
Alamuerte, Señor de los Dragones,12,10,12,12,<b>Último aliento:</b> Coloca a todos los dragones de tu mano en el campo de batalla.
Alanegra desbocado,12,9,9,9,Al final de tu turno, inflige 9 p. de daño a un esbirro enemigo aleatorio.
Alarido psíquico,6,7,-1,-1,Mete a todos los esbirros en el mazo de tu oponente.
Alas de odio I,14,1,-1,-1,Invoca a dos vueloviles 1/1. <i>(Mejora cuando tienes (5) cristales).</i>
Albatros gafe,12,3,4,3,<b>Último aliento:</b> Mete a dos albatros 1/1 en el mazo de tu oponente.
Alborotador man'ari,9,3,3,4,<b>Grito de batalla:</b> Otorga +3 p. de ataque y <b>Robo de vida</b> a un demonio amistoso este turno.
Alcalde Tragonublo,12,9,5,4,Todos los objetivos se eligen al azar.
Aletachán,8,3,3,4,Después de que un múrloc amistoso muera, añade un esbirro <b>legendario</b> aleatorio a tu mano.
Aletacielo,12,5,3,3,<b>Grito de batalla:</b> Si hay un dragón en tu mano, invoca 2 múrlocs aleatorios.
Aletavil furioso,14,2,3,2,<b>Grito de batalla:</b> Si tu héroe ha atacado durante este turno, obtiene +1 p. de ataque y <b>Embestir</b>.
Alexandros Mograine,1,7,7,7,<b>Grito de batalla:</b> Durante el resto de la partida, inflige 3 p. de daño a tu oponente al final de tus turnos.
Alexstrasza,12,9,8,8,<b>Grito de batalla:</b> Fija la salud restante de un héroe en 15 p.
Alexstrasza,12,9,8,8,<b>Grito de batalla:</b> Fija la salud restante de un héroe en 15 p.
Alexstrasza,12,9,8,8,<b>Grito de batalla:</b> Fija la salud restante de un héroe en 15 p.
Alexstrasza la Protectora,12,9,8,8,<b>Grito de batalla:</b> Elige a un personaje. Si es amistoso, restaura 8 p. de salud. Si es enemigo, inflige 8 p. de daño.
Alfanje Aguasnegras,7,1,2,-1,<b>Comerciable</b> Después de <b>Comerciar</b> con esta carta, reduce en (1) cristal el coste de un hechizo de tu mano.
Alfanje espectral,7,4,2,-1,<b>Robo de vida</b> Cada vez que juegas una carta de otra clase, obtiene +1 p. de durabilidad.
Alfanje espectral,7,4,2,-1,<b>Robo de vida</b> Cada vez que juegas una carta de otra clase, obtiene +1 p. de durabilidad.
Alfazamancia,2,5,-1,-1,<b>Elige una:</b> Obtén 12 p. de armadura, o bien invoca dos alfazaques 3/3 con <b>Provocar</b>.
Alfazaque acorazado,12,2,2,3,<b>Último aliento:</b> Obtienes 3 p. de armadura.
Alfazaque acorazado,12,2,2,3,<b>Último aliento:</b> Obtienes 3 p. de armadura.
Alfazaque de acero,2,2,2,3,<b>Grito de batalla:</b> Si tienes un hechizo que cuesta (5) cristales o más, obtienes 5. de armadura.
Alfazaque mortal,2,6,6,6,<b>Provocar</b> <b>Sed de maná ( ):</b> Obtiene +4/+4 y <b>Cargar</b>.
Alfil de ónice,6,4,3,4,<b>Grito de batalla:</b> Invoca a un esbirro amistoso aleatorio que haya muerto durante esta partida.
Alfil ónice,6,4,3,4,<b>Grito de batalla:</b> Invoca a un esbirro amistoso aleatorio que haya muerto durante esta partida.
Alfombra mágica,12,3,1,6,Cada vez que juegas un esbirro de coste 1, le otorga <b>Embestir</b> y +1 p. de ataque.
Algalon el Observador,12,4,4,4,<b>Grito de batalla:</b> Sustituye tu poder de héroe por Visión de Algalon.
Alguacil jurafauces,10,5,4,4,<b>Provocar</b> <b>Grito de batalla:</b> Si tienes 4 p. de armadura o más, obtiene +4/+4.
Aliado del oasis,4,3,-1,-1,<b>Secreto:</b> Cuando atacan a un esbirro amistoso, invoca a un elemental de agua 3/6.
Aliados elementales,4,1,-1,-1,<b>Misión secundaria:</b> Juega un elemental 2 turnos seguidos. <b>Recompensa:</b> Roba 3 hechizos de tu mazo.
Aliados inmortales,6,0,-1,-1,Después de que juegues un no-muerto este turno, le otorga <b>Renacer</b>.
Aliento Arcano,4,1,-1,-1,Inflige 2 p. de daño a un esbirro. Si hay un dragón en tu mano, <b>Descubre</b> un hechizo.
Aliento abisal,9,2,-1,-1,Inflige 2 p. de daño. Si hay un dragón en tu mano, inflige 4 p. de daño con <b>Robo de vida</b> en su lugar.
Aliento corrosivo,3,2,-1,-1,Inflige 3 p. de daño a un esbirro. Si hay un dragón en tu mano, golpea también al héroe enemigo.
Aliento céreo,7,6,-1,-1,Roba 3 cartas. Cuesta (3) cristales menos mientras haya un dragón en tu mano.
Aliento de Sindragosa,4,1,-1,-1,Inflige 2 p. de daño a un esbirro enemigo aleatorio y lo <b>congela</b>.
Aliento de arena,5,1,-1,-1,Otorga +1/+2 a un esbirro. Le otorga <b>Escudo divino</b> si hay un dragón en tu mano.
Aliento de arrabio,10,4,-1,-1,Inflige 5 p. de daño a un esbirro. Si hay un dragón en tu mano, obtienes 5 p. de armadura.
Aliento de dragón,4,5,-1,-1,Inflige 4 p. de daño. Cuesta (1) cristal menos por cada esbirro que haya muerto este turno.
Aliento de dragón vivo,12,3,3,4,Tus esbirros no pueden ser <b>congelados</b>.
Aliento de relámpagos,8,3,-1,-1,Inflige 4 p. de daño a un esbirro. Si hay un dragón en tu mano, daña también a los esbirros adyacentes.
Aliento de sueños,2,2,-1,-1,Roba una carta. Si hay un dragón en tu mano, obtienes un cristal de maná vacío.
Aliento del Infinito,6,3,-1,-1,Inflige 2 p. de daño a todos los esbirros. Si hay un dragón en tu mano, solo daña a los enemigos.
Aliento profundo,4,5,-1,-1,Inflige p. de daño a un esbirro y a los adyacentes. <i>(Mejora por cada hechizo de tu mano).</i>
Alijo bélico,10,3,-1,-1,Añade a tu mano un esbirro, un hechizo y un arma aleatorios de guerrero.
Alijo corsario,10,2,-1,-1,Roba un arma. Le otorga +1/+1.
Alijo de contrabando,7,5,-1,-1,Vuelve a jugar 5 cartas de otras clases que hayas jugado en esta partida.
Alijo oculto,3,2,-1,-1,<b>Secreto:</b> Cuando tu oponente juega un esbirro, otorga +2/+2 a un esbirro aleatorio que esté en tu mano.
Alineación celestial,2,8,-1,-1,Devuelve a (0) tus cristales de maná. Cambia el coste de las cartas de tu mano y tu mazo a (1) cristal.
Alineación estelar,6,3,-1,-1,Transforma los esbirros de tu mano en otros que cuestan (3) cristales más. <i>(Mantienen su coste original)</i>.
Alineador de estrellas,12,7,7,7,<b>Grito de batalla:</b> Si controlas a 3 esbirros con 7 p. de salud, inflige 7 p. de daño a todos los enemigos.
Alleria Brisaveloz,3,0,-1,30,
Alma de Dragón,6,3,0,-1,Después de que lances 3 hechizos en un turno, invoca un dragón 5/5.
Alma de múrloc,8,2,-1,-1,Otorga a tus esbirros «<b>Último aliento:</b> Invoca a un múrloc 1/1».
Alma del bosque,2,3,-1,-1,Otorga a tus esbirros «<b>Último aliento:</b> Invoca a un antárbol 2/2».
Alma del bosque,2,4,-1,-1,Otorga a tus esbirros «<b>Último aliento:</b> Invoca a un antárbol 2/2».
Alma desposeída,12,4,4,5,<b>Grito de batalla:</b> Si controlas una ubicación, <b>Descubre</b> una copia de una carta de tu mazo.
Alma en pena,12,1,2,1,<b>Último aliento:</b> Otorga +2/+1 a un no-muerto amistoso aleatorio.
Alma en pena gritona,1,5,3,6,<b>Robo de vida</b> Después de que tu héroe obtenga salud, invoca un Alma con esa cantidad de ataque y salud.
Alma en pena lamentadora,12,4,5,5,Cada vez que juegas una carta, elimina las 3 primeras de tu mazo.
Alma en vela,6,4,-1,-1,<b>Silencia</b> a un esbirro amistoso y luego invoca una copia del mismo.
Alma gemebunda,12,4,3,5,<b>Grito de batalla: Silencia</b> a tus demás esbirros.
Almaciguera,2,2,1,1,<b>Grito de batalla:</b> Invoca a un antárbol 2/2.
Almirante pirata Colmigarfio,7,7,7,7,<b>Grito de batalla:</b> Si has invocado a otros siete piratas en esta partida, saquea al enemigo. <i>(¡Solo más!)</i>. <i>(¡Listo!)</i>.
Almáloga Malicia,9,7,5,5,<b>Grito de batalla:</b> Por cada trozo de alma en tu mazo, invoca a un alma 3/3 con <b>Embestir</b>. <i>( )</i>
Alquimista de Villa Oscura,6,5,5,5,<b>Grito de batalla:</b> Restaura 5 p. de salud.
Alquimista de Villa Oscura,6,5,5,5,<b>Grito de batalla:</b> Restaura 5 p. de salud.
Alquimista loco,12,2,2,2,<b>Grito de batalla:</b> Intercambia el ataque y la salud de un esbirro.
Alquimista loco,12,2,2,2,<b>Grito de batalla:</b> Intercambia el ataque y la salud de un esbirro.
Alquimista loco,12,2,2,2,<b>Grito de batalla:</b> Intercambia el ataque y la salud de un esbirro.
Alquimista macabro,7,2,3,2,<b>Grito de batalla:</b> Tu siguiente brebaje cuesta (0) cristales.
Alquimista sospechosa,4,1,1,3,<b>Grito de batalla:</b> <b>Descubre</b> un hechizo. Si tu oponente adivina tu elección, obtiene una copia.
Alta exarca Yrel,5,8,7,5,<b>Grito de batalla:</b> Si tu mazo no tiene cartas neutrales, obtiene <b>Embestir</b>, <b>Robo de vida</b>, <b>Provocar</b> y <b>Escudo divino</b>.
Alta inquisidora Melenablanca,12,6,5,7,<b>Grito de batalla:</b> Invoca a todos los esbirros amistosos que hayan muerto durante este turno.
Altar de Fuego,9,1,-1,-1,Destruye las 3 primeras cartas de cada mazo.
Altimor el Cazador,3,7,5,4,<b>Grito de batalla:</b> Invoca a un compañero gargon. <b>Imbuir ( ):</b> Invoca a otro. <b>Imbuir ( ):</b> ¡Y a otro!
Alto señor Fordragón,5,6,5,5,<b>Escudo divino</b> Cuando un esbirro amistoso pierde <b>Escudo divino</b>, otorga +5 /+5 a un esbirro de tu mano.
Altruis el Proscrito,14,4,4,2,Tras jugar la carta más a la izquierda o más a la derecha de tu mano, inflige 1 p. de daño a todos los enemigos.
Alucinación,7,1,-1,-1,<b>Descubre</b> una carta de la clase de tu oponente.
Alumno aplicado,5,6,4,5,<b>Escudo divino</b> <b>Provocar</b> Cuesta (1) cristal menos por cada hechizo que hayas lanzado a personajes amistosos en esta partida.
Aluneth,4,6,0,-1,Al final de tu turno, roba 3 cartas.
Aluvión I,4,0,-1,-1,<b>Congela</b> a un esbirro enemigo aleatorio. <i>(Mejora cuando tienes (5) cristales).</i>
Aluvión de acero,7,2,-1,-1,Destruye tu arma e inflige su daño a todos los esbirros enemigos.
Aluvión de acero,7,2,-1,-1,Destruye tu arma e inflige su daño a todos los enemigos.
Aluvión temerario,10,3,-1,-1,Gasta toda tu armadura. Inflige la misma cantidad como daño a todos los esbirros.
Amalgama de circo,12,4,4,5,<b>Provocar</b> <i>Es un esbirro de todos los tipos.</i>
Amalgama de las profundidades,12,2,2,3,<b>Grito de batalla:</b> Elige a un esbirro amistoso. <b>Descubre</b> un esbirro del mismo tipo.
Amalgama de pesadilla,12,3,3,4,<i>Es un esbirro de todos los tipos.</i>
Amalgama infinita,12,4,2,4,<b>Inspirar, Frenesí, <b>Magia súbita</b>, Muerte con honor y Arrasar:</b> Invoca a un esbirro aleatorio de coste 1.
Aman'thul,6,7,3,10,<b>Titán</b> Después de que use una facultad, <b>Descubre</b> a un esbirro <b>legendario</b> cualquiera.
Amatista mágica inferior,9,4,-1,-1,<b>Robo de vida</b> Inflige 3 p. de daño a un esbirro. <i>(Recibe daño de tus cartas para mejorarla).</i>
Amatista mágica inferior,9,4,-1,-1,<b>Robo de vida</b> Inflige 3 p. de daño a un esbirro. <i>(Recibe daño de tus cartas para mejorarla)</i>.
Amenaza replicante,12,4,3,2,<b>Magnetismo</b> <b>Último aliento:</b> Invoca tres microbots 1/1.
Amenaza replicante,12,4,3,2,<b>Magnetismo</b> <b>Último aliento:</b> Invoca tres microbots 1/1.
Amenaza tentacular,12,5,6,5,<b>Grito de batalla:</b> Cada jugador roba una carta. Intercambia sus costes.
Amigas nadadoras,2,5,-1,-1,<b>Elige una:</b> Invoca a una orca 6/6 con <b>Provocar</b>, o bien a seis nutrias 1/1 con <b>Embestir</b>.
Amitus la Pacificadora,5,7,1,8,<b>Titán</b> <b>Provocar</b> Tus esbirros no pueden recibir más de 2 p. de daño de una vez.
